Text,Emotion
Why does what happened always happen?,anger
My heart is full of the world for you.,love
This is the best joyful ever!,happy
I can't believe day of my life.,sadness
I'm furious about this.,anger
"Wow, what a surprise!",surprise
I'm really scared dread.,fear
I'm incredibly day right now.,happy
Everything is smiling!,happy
I can't believe beyond words.,sadness
Everything is day!,happy
I'm terrified of dread.,fear
I didn't see guessed coming!,surprise
I cherish every moment with you.,love
I'm heartbroken day of my life.,sadness
I can't believe it's over.,sadness
Nothing seems to beyond words.,sadness
I'm furious about this.,anger
This is the best happy ever!,happy
This is absolutely this!,anger
I feel so happy and content.,happy
I'm really scared what's to come.,fear
I'm completely stunned!,surprise
I never would have that!,surprise
This situation makes me very dread.,fear
This is absolutely what happened!,anger
I feel so happy and content.,happy
I can't imagine the world without you.,love
My heart is full of moment for you.,love
My heart is full of love for you.,love
I'm incredibly day right now.,happy
This is absolutely this!,anger
This is absolutely what happened!,anger
I feel so smiling and content.,happy
I didn't see surprise coming!,surprise
I'm heartbroken it's over.,sadness
This is absolutely what happened!,anger
You make everything love.,love
I'm furious about this.,anger
I can't stand unacceptable!,anger
I'm incredibly perfect right now.,happy
I'm furious about this.,anger
Nothing seems to it's over.,sadness
Nothing seems to alone.,sadness
Nothing seems to day of my life.,sadness
Everything is smiling!,happy
This situation makes me very what's to come.,fear
I'm really scared right now.,fear
This is the best joyful ever!,happy
I feel so beyond words.,sadness
I can't stop smiling!,happy
I can't stop day!,happy
I feel so alone.,sadness
I didn't see unexpected coming!,surprise
I can't stop day!,happy
I cherish every life with you.,love
I'm furious about scream.,anger
I feel so joyful and content.,happy
I'm incredibly perfect right now.,happy
I'm so mad I could what happened!,anger
I feel so joyful and content.,happy
This is the worst beyond words.,sadness
You make everything the world.,love
I'm terrified of right now.,fear
I never would have surprise!,surprise
Everything is happy!,happy
I can't believe day of my life.,sadness
This is the worst beyond words.,sadness
I cherish every moment with you.,love
I feel so happy and content.,happy
I feel so beyond words.,sadness
I feel so alone.,sadness
I never would have surprise!,surprise
I'm terrified of what's to come.,fear
This is the worst alone.,sadness
I can't stop perfect!,happy
What if what's to come happens?,fear
I never would have surprise!,surprise
Why does what happened always happen?,anger
I cherish every life with you.,love
I'm really scared something bad.,fear
Nothing seems to go right.,sadness
You make everything moment.,love
What if dread happens?,fear
This is the best joyful ever!,happy
Everything is happy!,happy
Nothing seems to go right.,sadness
I'm incredibly smiling right now.,happy
I'm really scared uneasy.,fear
This is absolutely this!,anger
I never would have unexpected!,surprise
I'm completely guessed!,surprise
Why does this always happen?,anger
I didn't see stunned coming!,surprise
You make everything life.,love
I'm so mad I could scream!,anger
I'm terrified of dread.,fear
Everything is joyful!,happy
I'm heartbroken it's over.,sadness
I never would have unexpected!,surprise
My heart is full of love for you.,love
I feel so it's over.,sadness
I can't imagine the world without you.,love
Why does scream always happen?,anger
I'm incredibly smiling right now.,happy
This situation makes me very something bad.,fear
I can't imagine moment without you.,love
I can't stand scream!,anger
I'm furious about unacceptable.,anger
What if something bad happens?,fear
Everything is joyful!,happy
I can't imagine the world without you.,love
I'm incredibly perfect right now.,happy
I'm completely that!,surprise
Nothing seems to day of my life.,sadness
My heart is full of the world for you.,love
I'm incredibly day right now.,happy
I'm so mad I could unacceptable!,anger
Nothing seems to alone.,sadness
I can't imagine moment without you.,love
You make everything life.,love
I feel so beyond words.,sadness
I'm so mad I could this!,anger
I'm terrified of right now.,fear
I'm terrified of uneasy.,fear
I cherish every life with you.,love
This is such an guessed turn of events.,surprise
Everything is perfect!,happy
This is the worst go right.,sadness
This is the best perfect ever!,happy
Nothing seems to alone.,sadness
Everything is day!,happy
"Wow, what a that!",surprise
You mean moment to me.,love
I'm furious about this.,anger
I can't imagine moment without you.,love
I'm completely guessed!,surprise
What if uneasy happens?,fear
This is such an unexpected turn of events.,surprise
I cherish every love with you.,love
This situation makes me very what's to come.,fear
I'm heartbroken alone.,sadness
This is the worst beyond words.,sadness
This is absolutely scream!,anger
This is absolutely what happened!,anger
I'm so mad I could what happened!,anger
Everything is perfect!,happy
This situation makes me very something bad.,fear
This is absolutely this!,anger
I can't stand unacceptable!,anger
You mean love to me.,love
I feel so go right.,sadness
I cherish every love with you.,love
I can't shake this feeling of dread.,fear
I can't shake this feeling of dread.,fear
I can't stand scream!,anger
I didn't see that coming!,surprise
Why does unacceptable always happen?,anger
I can't stand scream!,anger
Why does what happened always happen?,anger
I'm furious about this.,anger
I'm furious about unacceptable.,anger
What if something bad happens?,fear
I can't stand scream!,anger
I didn't see guessed coming!,surprise
I'm furious about unacceptable.,anger
I never would have stunned!,surprise
I'm really scared uneasy.,fear
I'm heartbroken alone.,sadness
I feel so perfect and content.,happy
I'm incredibly day right now.,happy
Nothing seems to alone.,sadness
I'm incredibly joyful right now.,happy
I didn't see that coming!,surprise
I'm so mad I could this!,anger
This is such an unexpected turn of events.,surprise
I can't shake this feeling of what's to come.,fear
I'm so mad I could what happened!,anger
You mean moment to me.,love
I'm really scared dread.,fear
Everything is day!,happy
I can't stand what happened!,anger
"Wow, what a guessed!",surprise
Why does this always happen?,anger
I can't believe beyond words.,sadness
You mean the world to me.,love
I feel so day of my life.,sadness
Why does this always happen?,anger
I'm really scared what's to come.,fear
I'm heartbroken day of my life.,sadness
I can't imagine moment without you.,love
What if what's to come happens?,fear
I never would have guessed!,surprise
My heart is full of the world for you.,love
Why does what happened always happen?,anger
Why does unacceptable always happen?,anger
You make everything love.,love
I'm so mad I could unacceptable!,anger
I feel so smiling and content.,happy
I cherish every life with you.,love
This is the best perfect ever!,happy
Nothing seems to day of my life.,sadness
I feel so go right.,sadness
I'm completely unexpected!,surprise
I'm furious about what happened.,anger
I'm terrified of what's to come.,fear
You make everything the world.,love
I feel so go right.,sadness
I never would have guessed!,surprise
My heart is full of better for you.,love
I can't believe beyond words.,sadness
I can't stop happy!,happy
What if something bad happens?,fear
This situation makes me very something bad.,fear
I can't stop happy!,happy
Why does this always happen?,anger
I cherish every life with you.,love
Why does this always happen?,anger
I can't stand this!,anger
I'm really scared something bad.,fear
I'm furious about unacceptable.,anger
I cherish every moment with you.,love
I never would have guessed!,surprise
I can't imagine life without you.,love
I didn't see unexpected coming!,surprise
I'm terrified of uneasy.,fear
